scheme,m,t,puf_bits_used,noise_rate,noise_percent,flips_per_trial,successes,trials,success_rate,success_percent,ci95_low_percent,ci95_high_percent
BCH-A,8,8,192,0.0,0.0,0,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.0025,0.25,0,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.005,0.5,1,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.01,1.0,2,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.02,2.0,4,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-A,8,8,192,0.05,5.0,10,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.1,10.0,19,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.15,15.0,29,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.2,20.0,38,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.25,25.0,48,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-A,8,8,192,0.3,30.0,58,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.0,0.0,0,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.0025,0.25,1,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.005,0.5,1,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.01,1.0,3,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.02,2.0,5,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.05,5.0,14,1000,1000,1.0,100.0,99.61731014136095,100.0
BCH-C,9,16,272,0.1,10.0,27,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.15,15.0,41,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.2,20.0,54,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.25,25.0,68,0,1000,0.0,0.0,0.0,0.3826898586390522
BCH-C,9,16,272,0.3,30.0,82,0,1000,0.0,0.0,0.0,0.3826898586390522
