noise_rate,noise_percent,flips_per_trial,successes,trials,success_rate,success_percent,ci95_low_percent,ci95_high_percent
0.0,0.0,0,1000,1000,1.0,100.0,99.61731014136095,100.0
0.0025,0.25,4,1000,1000,1.0,100.0,99.61731014136095,100.0
0.005,0.5,8,1000,1000,1.0,100.0,99.61731014136095,100.0
0.01,1.0,17,1000,1000,1.0,100.0,99.61731014136095,100.0
0.02,2.0,33,1000,1000,1.0,100.0,99.61731014136095,100.0
0.05,5.0,83,1000,1000,1.0,100.0,99.61731014136095,100.0
0.1,10.0,166,985,1000,0.985,98.5,97.53988052083976,99.08891031628036
0.15,15.0,250,832,1000,0.832,83.2,80.75665073343211,85.38924320043157
0.2,20.0,333,383,1000,0.383,38.3,35.337219710896264,41.35232971602528
0.25,25.0,416,25,1000,0.025,2.5,1.6990011790561224,3.6645541866509785
0.3,30.0,499,0,1000,0.0,0.0,0.0,0.3826898586390522
0.35,35.0,582,0,1000,0.0,0.0,0.0,0.3826898586390522
0.4,40.0,666,0,1000,0.0,0.0,0.0,0.3826898586390522
0.5,50.0,832,0,1000,0.0,0.0,0.0,0.3826898586390522
