DEVICE: cuda
J5-B TRAIN exclusion: data_2.csv | removed=33,683
train: nodes=38,730 directed_edges=153,076 files=51
val: nodes=7,216 directed_edges=28,184 files=11
CLASS_WEIGHTS: [1.0, 0.04427307844161987]
epoch=001 loss=0.717220 val_auc=0.415550
epoch=002 loss=0.693846 val_auc=0.514374
epoch=003 loss=0.661521 val_auc=0.576846
epoch=004 loss=0.635306 val_auc=0.621344
epoch=005 loss=0.607656 val_auc=0.652257
epoch=006 loss=0.589242 val_auc=0.668236
epoch=007 loss=0.573071 val_auc=0.678613
epoch=008 loss=0.552422 val_auc=0.685688
epoch=009 loss=0.536662 val_auc=0.690802
epoch=010 loss=0.524066 val_auc=0.696425
epoch=011 loss=0.504567 val_auc=0.700437
epoch=012 loss=0.492548 val_auc=0.703552
epoch=013 loss=0.479819 val_auc=0.708023
epoch=014 loss=0.465307 val_auc=0.712990
epoch=015 loss=0.471026 val_auc=0.717575
epoch=016 loss=0.453932 val_auc=0.722171
epoch=017 loss=0.444330 val_auc=0.725281
epoch=018 loss=0.442853 val_auc=0.727332
epoch=019 loss=0.437740 val_auc=0.728249
epoch=020 loss=0.423566 val_auc=0.729442
epoch=021 loss=0.423642 val_auc=0.730161
epoch=022 loss=0.421430 val_auc=0.730236
epoch=023 loss=0.410916 val_auc=0.730392
epoch=024 loss=0.406847 val_auc=0.730659
epoch=025 loss=0.406559 val_auc=0.731071
epoch=026 loss=0.396740 val_auc=0.731535
epoch=027 loss=0.393348 val_auc=0.732026
epoch=028 loss=0.384299 val_auc=0.732544
epoch=029 loss=0.384799 val_auc=0.733059
epoch=030 loss=0.378254 val_auc=0.733579
epoch=031 loss=0.380590 val_auc=0.734108
epoch=032 loss=0.371262 val_auc=0.734658
epoch=033 loss=0.371345 val_auc=0.735191
epoch=034 loss=0.365367 val_auc=0.735680
epoch=035 loss=0.362074 val_auc=0.736248
epoch=036 loss=0.358723 val_auc=0.736815
epoch=037 loss=0.357661 val_auc=0.737386
epoch=038 loss=0.350112 val_auc=0.737938
epoch=039 loss=0.347298 val_auc=0.738507
epoch=040 loss=0.350938 val_auc=0.739050
epoch=041 loss=0.348415 val_auc=0.739580
epoch=042 loss=0.342053 val_auc=0.740075
epoch=043 loss=0.342656 val_auc=0.740537
epoch=044 loss=0.330652 val_auc=0.741039
epoch=045 loss=0.335496 val_auc=0.741506
epoch=046 loss=0.340125 val_auc=0.741992
epoch=047 loss=0.336735 val_auc=0.742496
epoch=048 loss=0.328845 val_auc=0.743045
epoch=049 loss=0.322225 val_auc=0.743562
epoch=050 loss=0.326475 val_auc=0.744059
epoch=051 loss=0.329330 val_auc=0.744507
epoch=052 loss=0.321900 val_auc=0.744964
epoch=053 loss=0.317297 val_auc=0.745450
epoch=054 loss=0.318461 val_auc=0.745939
epoch=055 loss=0.315319 val_auc=0.746480
