file,block,rows,stime_min,stime_max,benign,attack,cat_Reconnaissance,cat_Normal
data_1.csv,0,100000,1526344031.66514,1526352608.347926,671,99329,99329,671.0
data_1.csv,1,100000,1526352608.442578,1526880842.871266,550,99450,99450,550.0
data_1.csv,2,100000,1526880842.871267,1526880848.812416,1,99999,99999,1.0
data_1.csv,3,100000,1526880848.812417,1526880859.217362,0,100000,100000,
data_1.csv,4,100000,1526880859.217363,1526898841.084217,393,99607,99607,393.0
data_1.csv,5,100000,1526898841.084217,1526898845.662511,5,99995,99995,5.0
data_1.csv,6,100000,1526898845.662511,1526898854.450619,0,100000,100000,
data_1.csv,7,100000,1526898854.450619,1526907179.326814,198,99802,99802,198.0
data_1.csv,8,100000,1526907179.425741,1526949244.786555,175,99825,99825,175.0
data_1.csv,9,100000,1526949244.786556,1526949252.645503,0,100000,100000,
