file,block,rows,stime_min,stime_max,benign,attack,cat_Reconnaissance,cat_Normal,cat_DoS,cat_Theft
data_2.csv,0,100000,1526875505.554498,1526894177.140585,1106,98894,98894.0,1106,,
data_2.csv,1,100000,1526894177.140706,1526949254.853596,872,99128,99128.0,872,,
data_2.csv,2,100000,1526949254.853596,1526958391.22556,441,99559,99559.0,441,,
data_2.csv,3,100000,1526958391.704415,1526966114.008632,1210,98790,98790.0,1210,,
data_2.csv,4,100000,1526966114.008673,1526967366.085811,66,99934,99934.0,66,,
data_2.csv,5,100000,1526967366.085812,1526967373.82424,1,99999,99999.0,1,,
data_2.csv,6,100000,1526967373.824241,1526967556.107357,7,99993,99993.0,7,,
data_2.csv,7,100000,1526967556.107358,1526981817.095513,662,99338,99338.0,662,,
data_2.csv,8,100000,1526981817.095514,1528081322.812889,332,99668,27997.0,332,71671.0,
data_2.csv,9,100000,1528081322.812891,1529381833.932704,244,99756,,244,98169.0,1587.0
