capture,hamming_distance_vs_capture1,ber_vs_capture1,ber_percent_vs_capture1
1,0,0.0,0.0
2,112,0.0546875,5.46875
3,133,0.06494140625,6.494140625
4,120,0.05859375,5.859375
5,123,0.06005859375,6.005859375
6,111,0.05419921875,5.419921875
7,124,0.060546875,6.0546875
8,130,0.0634765625,6.34765625
9,129,0.06298828125,6.298828125
10,127,0.06201171875,6.201171875
11,136,0.06640625,6.640625
12,126,0.0615234375,6.15234375
13,120,0.05859375,5.859375
14,125,0.06103515625,6.103515625
15,116,0.056640625,5.6640625
16,117,0.05712890625,5.712890625
17,125,0.06103515625,6.103515625
18,127,0.06201171875,6.201171875
19,139,0.06787109375,6.787109375
20,122,0.0595703125,5.95703125
21,120,0.05859375,5.859375
22,116,0.056640625,5.6640625
23,127,0.06201171875,6.201171875
24,115,0.05615234375,5.615234375
25,124,0.060546875,6.0546875
26,125,0.06103515625,6.103515625
27,128,0.0625,6.25
28,112,0.0546875,5.46875
29,121,0.05908203125,5.908203125
30,114,0.0556640625,5.56640625
