bit_index,byte_index,bit_in_byte,ones_count,zeros_count,majority_value,reliability,reliability_percent,flip_count,stable_ge_90,stable_ge_95,stable_ge_97,stable_ge_99
0,0,0,30,0,1,1.0,100.0,0,1,1,1,1
1,0,1,30,0,1,1.0,100.0,0,1,1,1,1
2,0,2,0,30,0,1.0,100.0,0,1,1,1,1
3,0,3,6,24,0,0.8,80.0,6,0,0,0,0
4,0,4,0,30,0,1.0,100.0,0,1,1,1,1
5,0,5,30,0,1,1.0,100.0,0,1,1,1,1
6,0,6,28,2,1,0.9333333333333333,93.33333333333333,2,1,0,0,0
7,0,7,0,30,0,1.0,100.0,0,1,1,1,1
8,1,0,30,0,1,1.0,100.0,0,1,1,1,1
9,1,1,30,0,1,1.0,100.0,0,1,1,1,1
10,1,2,0,30,0,1.0,100.0,0,1,1,1,1
11,1,3,30,0,1,1.0,100.0,0,1,1,1,1
12,1,4,30,0,1,1.0,100.0,0,1,1,1,1
13,1,5,5,25,0,0.8333333333333334,83.33333333333334,5,0,0,0,0
14,1,6,0,30,0,1.0,100.0,0,1,1,1,1
15,1,7,0,30,0,1.0,100.0,0,1,1,1,1
16,2,0,30,0,1,1.0,100.0,0,1,1,1,1
17,2,1,29,1,1,0.9666666666666667,96.66666666666667,1,1,1,0,0
18,2,2,30,0,1,1.0,100.0,0,1,1,1,1
19,2,3,30,0,1,1.0,100.0,0,1,1,1,1
20,2,4,30,0,1,1.0,100.0,0,1,1,1,1
21,2,5,0,30,0,1.0,100.0,0,1,1,1,1
22,2,6,30,0,1,1.0,100.0,0,1,1,1,1
23,2,7,5,25,0,0.8333333333333334,83.33333333333334,5,0,0,0,0
24,3,0,0,30,0,1.0,100.0,0,1,1,1,1
25,3,1,0,30,0,1.0,100.0,0,1,1,1,1
26,3,2,0,30,0,1.0,100.0,0,1,1,1,1
27,3,3,30,0,1,1.0,100.0,0,1,1,1,1
28,3,4,30,0,1,1.0,100.0,0,1,1,1,1
29,3,5,30,0,1,1.0,100.0,0,1,1,1,1
30,3,6,0,30,0,1.0,100.0,0,1,1,1,1
31,3,7,0,30,0,1.0,100.0,0,1,1,1,1
32,4,0,0,30,0,1.0,100.0,0,1,1,1,1
33,4,1,30,0,1,1.0,100.0,0,1,1,1,1
34,4,2,0,30,0,1.0,100.0,0,1,1,1,1
35,4,3,0,30,0,1.0,100.0,0,1,1,1,1
36,4,4,0,30,0,1.0,100.0,0,1,1,1,1
37,4,5,30,0,1,1.0,100.0,0,1,1,1,1
38,4,6,30,0,1,1.0,100.0,0,1,1,1,1
39,4,7,30,0,1,1.0,100.0,0,1,1,1,1
40,5,0,4,26,0,0.8666666666666667,86.66666666666667,4,0,0,0,0
41,5,1,0,30,0,1.0,100.0,0,1,1,1,1
42,5,2,0,30,0,1.0,100.0,0,1,1,1,1
43,5,3,0,30,0,1.0,100.0,0,1,1,1,1
44,5,4,30,0,1,1.0,100.0,0,1,1,1,1
45,5,5,30,0,1,1.0,100.0,0,1,1,1,1
46,5,6,30,0,1,1.0,100.0,0,1,1,1,1
47,5,7,7,23,0,0.7666666666666667,76.66666666666667,7,0,0,0,0
48,6,0,28,2,1,0.9333333333333333,93.33333333333333,2,1,0,0,0
49,6,1,30,0,1,1.0,100.0,0,1,1,1,1
50,6,2,0,30,0,1.0,100.0,0,1,1,1,1
51,6,3,30,0,1,1.0,100.0,0,1,1,1,1
