capture,hamming_distance_vs_capture1,ber_vs_capture1,ber_percent_vs_capture1
1,0,0.0,0.0
2,103,0.05029296875,5.029296875
3,114,0.0556640625,5.56640625
4,117,0.05712890625,5.712890625
5,116,0.056640625,5.6640625
6,101,0.04931640625,4.931640625
7,112,0.0546875,5.46875
8,112,0.0546875,5.46875
9,112,0.0546875,5.46875
10,114,0.0556640625,5.56640625
11,120,0.05859375,5.859375
12,113,0.05517578125,5.517578125
13,108,0.052734375,5.2734375
14,96,0.046875,4.6875
15,105,0.05126953125,5.126953125
16,108,0.052734375,5.2734375
17,95,0.04638671875,4.638671875
18,108,0.052734375,5.2734375
19,111,0.05419921875,5.419921875
20,116,0.056640625,5.6640625
21,118,0.0576171875,5.76171875
22,103,0.05029296875,5.029296875
23,125,0.06103515625,6.103515625
24,111,0.05419921875,5.419921875
25,103,0.05029296875,5.029296875
26,103,0.05029296875,5.029296875
27,108,0.052734375,5.2734375
28,123,0.06005859375,6.005859375
29,110,0.0537109375,5.37109375
30,118,0.0576171875,5.76171875
