capture,region,bytes,bits,HD_vs_capture_1,BER_vs_capture_1
1,1,256,2048,0,0.00000000
2,1,256,2048,103,0.05029297
3,1,256,2048,114,0.05566406
4,1,256,2048,117,0.05712891
5,1,256,2048,116,0.05664062
6,1,256,2048,101,0.04931641
7,1,256,2048,112,0.05468750
8,1,256,2048,112,0.05468750
9,1,256,2048,112,0.05468750
10,1,256,2048,114,0.05566406
11,1,256,2048,120,0.05859375
12,1,256,2048,113,0.05517578
13,1,256,2048,108,0.05273438
14,1,256,2048,96,0.04687500
15,1,256,2048,105,0.05126953
16,1,256,2048,108,0.05273438
17,1,256,2048,95,0.04638672
18,1,256,2048,108,0.05273438
19,1,256,2048,111,0.05419922
20,1,256,2048,116,0.05664062
21,1,256,2048,118,0.05761719
22,1,256,2048,103,0.05029297
23,1,256,2048,125,0.06103516
24,1,256,2048,111,0.05419922
25,1,256,2048,103,0.05029297
26,1,256,2048,103,0.05029297
27,1,256,2048,108,0.05273438
